,title_id,title,start_year,genres,category,averagerating,numvotes,primary_name,known_for_titles,number_of_movies
12055,tt4923992,Cabin Crew,2017,Adventure,actor,8.9,10,Austin Amelio,"['tt1520211', 'tt2062700', 'tt2937696', 'tt3743822']",4
12056,tt4938492,Twilight of the Fools: A Veiled Kunstlerroman,2015,Comedy,actor,8.7,6,Austin,['tt4938492'],1
12057,tt4972696,Winter Has No Sun,2015,"Drama,Romance,Thriller",actor,5.6,27,Richard Abramov,"['tt6314836', 'tt7310714', 'tt3840050', 'tt4972696']",4
12058,tt4980882,Hobbes & Phil V.S. Zombies,2015,Comedy,actor,6.4,13,Gary Busby,"['tt2589352', 'tt4980882', 'tt4983746', 'tt8150666']",4
12059,tt5020372,Kill Ratio,2016,Action,actor,4.0,771,Tom Hopper,"['tt2375692', 'tt1199099', 'tt2290553', 'tt0944947']",4
12060,tt5038134,Lore,2018,Thriller,actor,7.1,36,Max Lesser,"['tt5038134', 'tt3774466', 'tt0285351']",3
12061,tt5072986,Submariners,2015,Documentary,actor,8.9,20,Ozzy Broadhead,['tt5072986'],1
12062,tt5081702,Before the Dark,2017,Sci-Fi,actor,4.5,40,Ryan Quinn Adams,"['tt8236566', 'tt8638524', 'tt7356206', 'tt7549006']",4
12063,tt5114176,I Recorded a Murder!,2016,"Crime,Drama,Horror",actress,5.8,21,Adriana Carradero,"['tt6741388', 'tt5822412', 'tt5329972', 'tt5114176']",4
12064,tt5117204,Pink Elephant,2017,"Adventure,Comedy,Drama",actor,6.9,8,Zachary Alderman,['tt5117204'],1
12065,tt5120376,"More Money, More Family",2015,Comedy,actor,6.2,20,Michael Blackson,"['tt3564200', 'tt4191580', 'tt0775529', 'tt0195945']",4
