,title,studio,domestic_gross,foreign_gross,year,original_language,popularity,release_date,vote_average,vote_count,production_budget,total_gross,total_profit,roi_percentage
113,Sea Rex 3D: Journey to a Prehistoric World,3D,6100000.0,9900000.0,2010,en,2.7460000000000004,2010-05-14,7.4,12,5000000,16000000.0,11000000.0,200.0
114,Extraordinary Measures,CBS,12100000.0,3100000.0,2010,en,6.3,2010-01-21,6.3,153,31000000,15200000.0,-15800000.0,-100.0
115,Somewhere,Focus,1800000.0,12200000.0,2010,en,7.596,2010-12-22,6.1,376,7000000,14000000.0,7000000.0,100.0
116,Winter's Bone,RAtt.,6500000.0,7300000.0,2010,en,9.824,2010-06-11,6.9,931,2000000,13800000.0,11800000.0,500.0
117,Made in Dagenham,SPC,1100000.0,11300000.0,2010,en,7.275,2010-11-19,6.6,150,8000000,12400000.0,4400000.0,0.0
118,Blue Valentine,Wein.,9700000.0,2600000.0,2010,en,8.994,2010-12-29,6.9,1677,1000000,12300000.0,11300000.0,1100.0
120,Chloe,SPC,3100000.0,8600000.0,2010,en,8.807,2010-03-26,5.9,940,13000000,11700000.0,-1300000.0,-100.0
121,The Warrior's Way,Rela.,5700000.0,5400000.0,2010,en,8.259,2010-12-03,6.1,203,42000000,11100000.0,-30900000.0,-100.0
122,Jonah Hex,WB,10500000.0,356000.0,2010,en,13.467,2010-06-18,4.6,708,47000000,10856000.0,-36144000.0,-100.0
123,Harry Brown,Gold.,1800000.0,8500000.0,2010,en,10.555,2010-04-30,6.8,505,7300000,10300000.0,3000000.0,0.0
124,Cyrus,FoxS,7500000.0,2500000.0,2010,en,7.735,2010-06-18,6.0,201,7000000,10000000.0,3000000.0,0.0
125,Conviction,FoxS,6800000.0,2900000.0,2010,en,7.51,2010-10-15,7.2,297,12500000,9700000.0,-2800000.0,-100.0
126,Get Low,SPC,9200000.0,518000.0,2010,en,8.215,2010-01-22,6.7,135,7000000,9718000.0,2718000.0,0.0
127,Stone,Over.,1800000.0,7700000.0,2010,en,8.401,2010-10-22,5.2,334,22000000,9500000.0,-12500000.0,-100.0
129,Never Let Me Go,FoxS,2400000.0,7000000.0,2010,en,10.012,2010-09-15,6.8,1294,15000000,9400000.0,-5600000.0,-100.0
130,MacGruber,Uni.,8500000.0,797000.0,2010,en,7.666,2010-05-21,5.3,270,10000000,9297000.0,-703000.0,-100.0
131,Inside Job,SPC,4300000.0,3600000.0,2010,en,9.514,2010-10-08,7.8,466,2000000,7900000.0,5900000.0,200.0
132,The Joneses,RAtt.,1500000.0,5500000.0,2010,en,6.4239999999999995,2010-04-16,6.2,312,10000000,7000000.0,-3000000.0,-100.0
134,Centurion,Magn.,124000.0,6700000.0,2010,en,13.548,2010-02-15,6.1,673,15000000,6824000.0,-8176000.0,-100.0
135,Animal Kingdom,SPC,1000000.0,5700000.0,2010,en,10.187999999999999,2010-08-13,6.8,399,4200000,6700000.0,2500000.0,0.0
136,Nowhere Boy,Wein.,1500000.0,5100000.0,2010,en,7.099,2010-01-27,7.3,469,1900000,6600000.0,4700000.0,200.0
137,It's Kind of a Funny Story,Focus,6400000.0,128000.0,2010,en,10.01,2010-10-08,7.0,1324,8000000,6528000.0,-1472000.0,-100.0
138,Rabbit Hole,LGF,2200000.0,2900000.0,2010,en,9.389,2010-12-16,6.8,292,5000000,5100000.0,100000.0,0.0
139,The Runaways,App.,3600000.0,1100000.0,2010,en,8.19,2010-03-19,6.4,448,9500000,4700000.0,-4800000.0,-100.0
140,Four Lions,Drft.,305000.0,4400000.0,2010,en,9.968,2010-11-05,7.0,621,3750000,4705000.0,955000.0,0.0
141,Please Give,SPC,4000000.0,280000.0,2010,en,5.945,2010-01-22,6.3,81,3000000,4280000.0,1280000.0,0.0
142,Monsters,Magn.,237000.0,4000000.0,2010,en,10.175,2010-10-29,6.2,848,500000,4237000.0,3737000.0,700.0
144,The Killer Inside Me,IFC,217000.0,3800000.0,2010,en,7.087000000000001,2010-04-27,5.9,304,13000000,4017000.0,-8983000.0,-100.0
145,The Perfect Game,IW,1000000.0,2800000.0,2010,en,4.958,2010-04-16,6.3,44,12500000,3800000.0,-8700000.0,-100.0
146,Wild Target,Free,109000.0,3300000.0,2010,en,9.355,2010-10-29,6.4,356,8000000,3409000.0,-4591000.0,-100.0
147,Kites,Relbig.,1600000.0,1300000.0,2010,hi,6.058,2010-05-21,5.8,67,9200000,2900000.0,-6300000.0,-100.0
148,Letters to God,Viv.,2800000.0,60300.0,2010,en,4.242,2010-04-09,6.9,71,3000000,2860300.0,-139700.0,-100.0
149,After.Life,Anch.,109000.0,1900000.0,2010,en,9.395,2009-11-07,5.7,416,4500000,2009000.0,-2491000.0,-100.0
153,Casino Jack,ATO,1000000.0,40700.0,2010,en,9.432,2010-12-17,6.1,149,12500000,1040700.0,-11459300.0,-100.0
154,Leaves of Grass,First,70100.0,949000.0,2010,en,5.996,2010-09-17,6.0,214,9000000,1019100.0,-7980900.0,-100.0
155,Carlos,IFC,146000.0,726000.0,2010,en,6.568,2010-10-11,7.0,87,18000000,872000.0,-17128000.0,-100.0
156,The Disappearance of Alice Creed,Anch.,167000.0,701000.0,2010,en,9.087,2010-04-30,6.6,280,1500000,868000.0,-632000.0,-100.0
157,Enter the Void,IFC,336000.0,418000.0,2010,en,9.562999999999999,2010-09-24,7.3,773,16000000,754000.0,-15246000.0,-100.0
158,All Good Things,Magn.,582000.0,62500.0,2010,en,7.871,2010-12-03,6.0,493,20000000,644500.0,-19355500.0,-100.0
159,Chain Letter,NFC,139000.0,447000.0,2010,en,6.44,2010-10-01,4.1,63,3000000,586000.0,-2414000.0,-100.0
160,I Spit on Your Grave,Anch.,93100.0,480000.0,2010,en,13.102,2010-10-08,6.3,977,1750000,573100.0,-1176900.0,-100.0
161,The Extra Man,Magn.,453000.0,4500.0,2010,en,5.056,2010-08-01,5.9,46,7000000,457500.0,-6542500.0,-100.0
163,The Tempest,Mira.,278000.0,68700.0,2010,en,6.3,2010-12-10,5.8,52,20000000,346700.0,-19653300.0,-100.0
164,The Good Heart,Magn.,20900.0,323000.0,2010,en,2.3209999999999997,2010-04-30,6.4,30,3800000,343900.0,-3456100.0,-100.0
165,Welcome to the Rileys,Gold.,159000.0,158000.0,2010,en,8.347999999999999,2010-10-29,6.5,241,10000000,317000.0,-9683000.0,-100.0
166,The Girl on the Train,Strand,208000.0,97100.0,2010,en,1.595,2014-07-03,5.9,25,45000000,305100.0,-44694900.0,-100.0
169,Freakonomics,Magn.,101000.0,16400.0,2010,en,5.705,2010-10-01,6.6,57,2900000,117400.0,-2782600.0,-100.0
170,Transformers: Dark of the Moon,P/DW,352400000.0,771400000.0,2011,en,5.3389999999999995,2011-06-28,6.1,4961,195000000,1123800000.0,928800000.0,400.0
171,Pirates of the Caribbean: On Stranger Tides,BV,241100000.0,804600000.0,2011,en,30.579,2011-05-20,6.4,8571,410600000,1045700000.0,635100000.0,100.0
172,Kung Fu Panda 2,P/DW,165200000.0,500400000.0,2011,en,17.363,2011-05-25,6.7,3628,150000000,665600000.0,515600000.0,300.0
173,Fast Five,Uni.,209800000.0,416300000.0,2011,en,2.097,2011-04-28,7.2,4294,125000000,626100000.0,501100000.0,400.0
174,The Hangover Part II,WB,254500000.0,332300000.0,2011,en,32.266,2011-05-25,6.4,6231,80000000,586800000.0,506800000.0,600.0
175,The Smurfs,Sony,142600000.0,421100000.0,2011,en,16.533,2011-07-29,5.6,2112,110000000,563700000.0,453700000.0,400.0
176,Cars 2,BV,191500000.0,370700000.0,2011,en,23.498,2011-06-16,5.9,4058,200000000,562200000.0,362200000.0,100.0
177,Puss in Boots,P/DW,149300000.0,405700000.0,2011,en,9.078,2011-10-28,6.3,1422,130000000,555000000.0,425000000.0,300.0
178,Sherlock Holmes: A Game of Shadows,WB,186800000.0,358600000.0,2011,en,18.301,2011-12-16,7.1,6380,125000000,545400000.0,420400000.0,300.0
179,Rio,Fox,143600000.0,341000000.0,2011,en,14.695,2011-04-15,6.6,3730,90000000,484600000.0,394600000.0,400.0
180,Rise of the Planet of the Apes,Fox,176800000.0,305000000.0,2011,en,22.995,2011-08-04,7.2,7259,93000000,481800000.0,388800000.0,400.0
181,Thor,Par.,181000000.0,268300000.0,2011,en,38.068000000000005,2011-05-06,6.7,12764,150000000,449300000.0,299300000.0,100.0
182,The Adventures of Tintin,Par.,77600000.0,296400000.0,2011,en,11.981,2011-12-20,6.8,3251,130000000,374000000.0,244000000.0,100.0
183,Captain America: The First Avenger,Par.,176700000.0,193900000.0,2011,en,25.808000000000003,2011-07-22,6.9,12810,140000000,370600000.0,230600000.0,100.0
184,X-Men: First Class,Fox,146400000.0,207200000.0,2011,en,1.4469999999999998,2011-06-03,7.2,8211,160000000,353600000.0,193600000.0,100.0
185,Alvin and the Chipmunks: Chipwrecked,Fox,133100000.0,209600000.0,2011,en,12.672,2011-12-16,5.5,1055,80000000,342700000.0,262700000.0,300.0
186,Real Steel,BV,85500000.0,213800000.0,2011,en,14.811,2011-10-06,6.8,4566,110000000,299300000.0,189300000.0,100.0
187,Bridesmaids,Uni.,169100000.0,119300000.0,2011,en,9.805,2011-05-13,6.5,2783,32500000,288400000.0,255900000.0,700.0
188,Super 8,Par.,127000000.0,133100000.0,2011,en,14.39,2011-06-09,6.7,3934,50000000,260100000.0,210100000.0,400.0
189,Rango,Par.,123500000.0,122200000.0,2011,en,14.462,2011-03-03,6.6,3412,135000000,245700000.0,110700000.0,0.0
190,The Green Hornet,Sony,98800000.0,129000000.0,2011,en,14.501,2011-01-13,5.5,1897,110000000,227800000.0,117800000.0,100.0
191,Immortals,Rela.,83500000.0,143400000.0,2011,en,14.774000000000001,2011-11-11,5.8,1431,75000000,226900000.0,151900000.0,200.0
192,Green Lantern,WB,116600000.0,103300000.0,2011,en,17.257,2011-06-17,5.1,4290,200000000,219900000.0,19900000.0,0.0
193,The Help,BV,169700000.0,46900000.0,2011,en,12.597999999999999,2011-08-10,8.1,3944,25000000,216600000.0,191600000.0,700.0
194,Bad Teacher,Sony,100300000.0,115900000.0,2011,en,13.549000000000001,2011-06-19,5.5,2894,19000000,216200000.0,197200000.0,1000.0
195,Battle: Los Angeles,Sony,83600000.0,128300000.0,2011,en,12.720999999999998,2011-03-08,5.6,2049,70000000,211900000.0,141900000.0,200.0
196,Horrible Bosses,WB (NL),117500000.0,92100000.0,2011,en,14.058,2011-07-08,6.5,3842,35000000,209600000.0,174600000.0,400.0
197,Paranormal Activity 3,Par.,104000000.0,103000000.0,2011,en,9.669,2011-10-21,5.9,1197,5000000,207000000.0,202000000.0,4000.0
198,Hugo,Par.,73900000.0,111900000.0,2011,en,12.936,2011-11-23,7.1,4124,180000000,185800000.0,5800000.0,0.0
199,Hop,Uni.,108100000.0,75900000.0,2011,en,14.738,2011-04-01,5.6,611,63000000,184000000.0,121000000.0,100.0
200,War Horse,BV,79900000.0,97700000.0,2011,en,10.378,2011-12-25,7.2,1849,70000000,177600000.0,107600000.0,100.0
